TIME,CODE
3.58859,51
14.56589,52
25.14999,50
35.73399,49
46.49009,51
56.71369,52
68.51019,49
79.53659,50
91.16929,51
103.05589,49
113.75459,50
123.98639,52
135.26679,51
147.03869,50
158.98269,49
169.01789,52
179.44629,51
191.46389,50
202.97369,49
214.27049,52
224.72348,51
236.02839,50
247.04669,52
258.94961,49
270.95909,51
281.48579,50
292.48769,52
304.11209,49
315.29419,52
326.77939,50
338.62499,49
349.63509,51
360.63689,52
371.91729,50
383.09119,49
394.51089,51
405.97968,49
417.33379,50
428.22909,51
439.22279,52
450.16729,51
461.43949,49
473.26869,50
484.79489,52
495.82129,51
506.22519,52
517.32529,49
528.61389,50
539.32899,51
550.83059,50
562.14371,52
572.44929,49
583.60679,52
594.97729,49
605.05339,51
616.74339,50
627.20459,51
637.60029,49
648.28259,50
659.31728,52
669.38519,49
679.77269,50
691.16769,52
703.08709,51
714.37569,49
725.59869,50
736.00258,52
747.25019,51
758.03908,49
768.18889,50
779.16619,52
789.87319,51
800.08859,49
811.66389,52
823.55049,50
834.54409,51
845.16099,49
857.08849,52
867.69718,50
879.22329,51
