TIME,CODE
3.73679,51
15.71349,52
27.07579,50
38.34799,49
50.07889,51
61.57229,52
71.83689,49
83.34659,50
95.15949,51
106.80849,50
118.42479,52
129.54129,49
140.19909,51
151.43029,50
161.49009,49
172.69679,52
184.12459,50
194.58579,52
205.17809,49
216.57309,51
228.11561,50
238.81439,51
249.72618,49
260.34299,52
270.92699,50
281.16699,51
291.75929,52
303.27719,49
313.51719,51
325.43659,52
337.05289,49
348.05469,50
359.52349,51
371.34459,52
381.76479,50
391.79999,49
403.71119,52
415.31919,49
427.04199,51
437.18369,50
448.75079,51
459.09729,49
469.99259,50
481.28939,52
491.68508,51
503.68629,49
513.79529,50
524.94459,52
535.61869,50
547.38249,52
557.76169,49
569.32879,51
580.34709,52
592.01249,51
603.59599,49
613.98339,50
624.44459,49
634.90579,50
645.31779,52
656.50809,51
667.38709,49
679.29819,50
689.34159,52
700.11409,51
711.47639,50
722.71579,52
733.93069,51
744.25259,49
755.27088,52
765.66649,50
775.97199,49
787.60469,51
798.49179,49
810.44399,50
820.71669,51
832.48039,52
842.97439,51
853.22259,49
863.76569,50
874.80029,52
