TIME,CODE
4.33249,50
15.40809,51
25.94299,52
37.41179,49
49.10179,51
60.05458,50
71.47419,49
81.66499,52
93.06009,49
104.63748,50
114.89379,52
125.37959,51
136.30769,50
147.43248,52
158.32779,51
168.76439,49
178.96349,50
189.82599,52
200.41829,49
210.93679,51
221.01299,49
232.83408,50
244.84349,52
255.07529,51
265.80689,49
277.69339,50
287.94159,51
299.63979,52
309.83069,49
321.11099,51
331.44109,50
343.39329,52
353.87079,49
365.38059,51
376.99689,50
387.88399,52
398.64829,51
410.50209,49
422.16758,50
434.02959,52
444.98229,49
456.33639,50
467.96899,52
479.24119,51
491.18519,52
503.22739,51
515.00749,50
526.56639,49
538.47759,52
548.77489,50
559.92419,51
569.95119,49
580.23219,50
590.49679,52
600.91699,49
612.62339,51
622.75689,52
634.22569,50
644.97359,51
655.04969,49
665.24879,50
676.62749,52
686.94119,51
697.82839,49
709.80508,51
719.91399,49
731.50569,52
741.77019,50
753.36189,49
764.42109,51
775.61139,50
787.37509,52
799.13059,51
809.68189,49
820.36429,52
830.41589,50
840.58211,49
852.59159,51
863.33129,50
874.87389,52
